Time [s];T_cat [gradC];n_h2 [mol/s];n_ch4 [mol/s];n_h2_res [mol/s];m_DE [kg/h];Pel [W]
0;451;0.0485;0.0114;0.00252;1.22;490
2;451;0.0484;0.0113;0.00252;0;490
4;451;0.0483;0.0113;0.00251;0;490
6;450;0.0482;0.0112;0.00251;0;350
8;450;0.0481;0.0112;0.0025;0;350
10;450;0.048;0.0111;0.0025;0;350
12;450;0.0479;0.0111;0.00249;0;350
14;450;0.0478;0.0110;0.00249;0;350
16;449;0.0477;0.0110;0.00248;0;350
18;449;0.0476;0.0109;0.00248;0;350
20;449;0.0475;0.0109;0.00247;0;350
22;449;0.0474;0.0108;0.00247;0;350
24;450;0.0473;0.0108;0.00246;0;350
26;449;0.0472;0.0108;0.00246;0;350
28;449;0.0471;0.0101;0.00245;0;350
30;449;0.047;0.0101;0.00245;0;350
32;450;0.0469;0.0101;0.00244;0;350
34;450;0.0468;0.0101;0.00244;0;448
36;449;0.0467;0.0100;0.00243;0;490
38;449;0.0466;0.0100;0.00243;0;490
40;450;0.0465;0.0100;0.00242;0;490
42;450;0.0464;0.0100;0.00242;0;490
44;451;0.0463;0.0100;0.00241;0;378
46;450;0.0462;0.0099;0.00241;0;350
48;451;0.0461;0.0099;0.0024;0;350
50;451;0.046;0.0099;0.0024;0;350
52;452;0.0459;0.0099;0.00239;0;350
54;452;0.0458;0.0099;0.00239;0;350
56;451;0.0457;0.0098;0.00238;0;350
58;452;0.0456;0.0098;0.00238;0;350
60;452;0.0455;0.0098;0.00237;0;350
62;453;0.0454;0.0098;0.00237;0;350
64;453;0.0452;0.0094;0.00265;0;350
66;453;0.0451;0.0094;0.00264;0;350
68;454;0.0451;0.0093;0.00262;0;350
70;454;0.0449;0.0093;0.00263;0;350
72;455;0.0449;0.0093;0.00261;0;350
74;455;0.0448;0.0093;0.00262;0;406
76;455;0.0446;0.0093;0.0026;0;490
78;455;0.0445;0.0092;0.00262;0;490
80;456;0.0444;0.0092;0.00259;0;490
82;457;0.0443;0.0092;0.0026;0;490
84;457;0.0442;0.0092;0.00258;0;420
86;457;0.0441;0.0091;0.00258;0;350
88;457;0.044;0.0091;0.00257;0;350
90;458;0.0439;0.0091;0.00256;0;350
92;458;0.0438;0.0091;0.00255;0;350
94;459;0.0437;0.0091;0.00254;0;350
96;459;0.0436;0.0091;0.00254;0;350
98;459;0.0435;0.0091;0.00252;0;350
100;460;0.0434;0.0090;0.00252;0;350
102;461;0.0433;0.0090;0.0025;0;350
104;461;0.0432;0.0090;0.00251;0;350
106;461;0.0431;0.0090;0.00248;0;350
108;462;0.043;0.0090;0.00248;0;350
110;462;0.0429;0.0090;0.00246;0;350
112;463;0.0428;0.0090;0.00244;0;350
114;463;0.0427;0.0089;0.00245;0;350
116;463;0.0426;0.0089;0.00243;0;476
118;464;0.0425;0.0089;0.00243;0;490
120;464;0.0424;0.0089;0.00241;0;490
122;465;0.0423;0.0089;0.00241;0;490
124;465;0.0422;0.0088;0.0024;0;490
126;465;0.0421;0.0088;0.00237;0;378
128;465;0.042;0.0088;0.00239;0;350
130;466;0.0419;0.0088;0.00237;0;350
132;466;0.0418;0.0088;0.00237;0;350
134;467;0.0417;0.0087;0.00237;0;350
136;466;0.0416;0.0088;0.00233;0;350
138;467;0.0415;0.0087;0.00235;0;350
140;467;0.0414;0.0087;0.00233;0;350
142;468;0.0413;0.0087;0.00232;0;350
144;468;0.0412;0.0086;0.00232;0;350
146;468;0.0411;0.0086;0.00232;0;350
148;468;0.041;0.0086;0.00231;0;350
150;469;0.0409;0.0086;0.0023;0;350
152;469;0.0408;0.0086;0.00228;0;350
154;469;0.0407;0.0085;0.00229;0;406
156;469;0.0405;0.0085;0.00228;0;490
158;469;0.0404;0.0085;0.00227;0;490
160;470;0.0403;0.0085;0.00224;0;490
162;470;0.0402;0.0085;0.00226;0;490
164;470;0.0401;0.0085;0.00226;0;420
166;470;0.04;0.0084;0.00224;0;350
168;470;0.0399;0.0084;0.00223;0;350
170;471;0.0398;0.0084;0.00222;0;350
172;471;0.0397;0.0084;0.00223;0;350
174;471;0.0396;0.0084;0.00222;0;350
176;471;0.0395;0.0084;0.00219;0;350
178;471;0.0394;0.0083;0.0022;0;350
180;471;0.0393;0.0083;0.0022;0;350
182;472;0.0392;0.0083;0.00218;0;350
184;472;0.0391;0.0083;0.00216;0;350
186;471;0.039;0.0082;0.00218;0;350
188;472;0.0389;0.0082;0.00216;0;350
190;472;0.0388;0.0082;0.00213;0;350
192;472;0.0387;0.0082;0.00214;0;434
194;473;0.0386;0.0082;0.00214;0;490
196;472;0.0385;0.0082;0.00213;0;490
198;472;0.0384;0.0081;0.00212;0;490
200;473;0.0383;0.0081;0.00211;0;490
202;473;0.0382;0.0081;0.00212;0;392
204;473;0.0381;0.0081;0.00211;0;350
206;473;0.038;0.0080;0.0021;0;350
208;473;0.0379;0.0080;0.00209;0;350
210;473;0.0378;0.0080;0.00206;0;350
212;474;0.0377;0.0080;0.00207;0;350
214;474;0.0376;0.0080;0.00208;0;350
216;473;0.0375;0.0079;0.00207;0;350
218;474;0.0374;0.0079;0.00206;0;350
220;474;0.0373;0.0079;0.00205;0;350
222;474;0.0372;0.0079;0.00203;0;406
224;474;0.0371;0.0079;0.00203;0;490
226;474;0.037;0.0078;0.00204;0;490
228;474;0.0369;0.0078;0.00204;0;490
230;474;0.0368;0.0078;0.00203;0;490
232;474;0.0367;0.0078;0.00203;0;420
234;474;0.0366;0.0077;0.00202;0;350
236;474;0.0365;0.0077;0.00201;0;350
238;474;0.0363;0.0077;0.00199;0;350
240;474;0.0362;0.0077;0.00198;0;350
242;474;0.0361;0.0077;0.00197;0;350
244;475;0.036;0.0077;0.00196;0;350
