Time [s];T_cat [gradC];n_h2 [mol/s];n_ch4 [mol/s];n_h2_res [mol/s];m_DE [kg/h];Pel [W]
0;451.3;0.0198;0.0048;0.000150;0.4656364;350
2;451.3;0.0197;0.00478;0.000149;0;350
4;451.3;0.0196;0.00476;0.000149;0;350
6;451.4;0.0195;0.00474;0.000148;0;350
8;451.3;0.0194;0.00472;0.000148;0;350
10;451.3;0.0194;0.0047;0.000147;0;350
12;451.3;0.0193;0.00468;0.000146;0;350
14;451.2;0.0192;0.00465;0.000145;0;350
16;451.2;0.0191;0.00463;0.000145;0;350
18;451.1;0.019;0.00461;0.000144;0;350
20;451.1;0.0189;0.00458;0.000143;0;350
22;451.1;0.0188;0.00456;0.000143;0;350
24;451;0.0187;0.00454;0.000142;0;350
26;450.9;0.0186;0.00452;0.000141;0;350
28;450.7;0.0185;0.00449;0.000140;0;350
30;450.6;0.0184;0.00447;0.000140;0;350
32;450.4;0.0183;0.00445;0.000139;0;350
34;450.3;0.0183;0.00443;0.000138;0;350
36;450.1;0.0182;0.0044;0.000138;0;350
38;450;0.0181;0.00438;0.000137;0;350
40;449.9;0.018;0.00436;0.000136;0;350
42;449.9;0.0179;0.00433;0.000135;0;350
44;449.8;0.0178;0.00431;0.000135;0;350
46;449.7;0.0177;0.00429;0.000134;0;350
48;449.6;0.0176;0.00427;0.000133;0;350
50;449.4;0.0175;0.00425;0.000133;0;315
52;449.2;0.0174;0.00422;0.000132;0;294
54;449;0.0173;0.0042;0.000131;0;280
56;448.8;0.0172;0.00418;0.000131;0;238
58;448.5;0.0171;0.00415;0.000130;0;224
60;448.3;0.017;0.00413;0.000129;0;231
62;448.1;0.0169;0.00411;0.000128;0;210
64;447.9;0.0168;0.00408;0.000128;0;224
66;447.8;0.0167;0.00406;0.000127;0;224
68;447.7;0.0166;0.00404;0.000126;0;210
70;447.6;0.0165;0.00401;0.000125;0;224
72;447.5;0.0164;0.00399;0.000125;0;224
74;447.3;0.0163;0.00397;0.000124;0;210
76;447.1;0.0163;0.00394;0.000123;0;224
78;446.8;0.0161;0.00392;0.000123;0;217
80;446.5;0.0161;0.0039;0.000122;0;224
82;446.2;0.016;0.00387;0.000121;0;231
84;446;0.0159;0.00385;0.000120;0;210
86;445.9;0.0158;0.00383;0.000120;0;231
88;445.8;0.0157;0.0038;0.000119;0;273
90;445.6;0.0156;0.00378;0.000118;0;280
92;445.4;0.0155;0.00375;0.000117;0;308
94;445.2;0.0154;0.00373;0.000117;0;343
96;444.8;0.0153;0.00371;0.000116;0;350
98;444.5;0.0152;0.00369;0.000115;0;350
100;444.2;0.0151;0.00366;0.000114;0;350
102;444;0.015;0.00364;0.000114;0;350
104;443.9;0.0149;0.00361;0.000113;0;350
106;443.7;0.0148;0.00359;0.000112;0;350
108;443.4;0.0147;0.00356;0.000111;0;350
110;443.2;0.0146;0.00354;0.000111;0;350
112;442.9;0.0145;0.00352;0.000110;0;350
114;442.5;0.0144;0.00349;0.000109;0;350
116;442.1;0.0143;0.00347;0.000108;0;350
118;441.7;0.0142;0.00344;0.000108;0;350
120;441.5;0.0141;0.00342;0.000107;0;350
122;441.4;0.014;0.00339;0.000106;0;350
124;441.2;0.0139;0.00337;0.000105;0;350
126;441.1;0.0138;0.00335;0.000105;0;350
128;440.8;0.0137;0.00332;0.000104;0;350
130;440.4;0.0136;0.0033;0.000103;0;350
132;440;0.0135;0.00327;0.000102;0;315
134;439.5;0.0134;0.00325;0.000102;0;308
136;439;0.0133;0.00322;0.000101;0;273
138;438.5;0.0132;0.0032;0.000100;0;245
140;437.9;0.0131;0.00317;0.000099;0;231
142;437.6;0.013;0.00315;0.000098;0;224
144;437.4;0.0129;0.00312;0.000098;0;210
146;437.3;0.0128;0.0031;0.000097;0;224
148;437.1;0.0126;0.00307;0.000096;0;217
150;436.8;0.0126;0.00305;0.000095;0;224
152;436.4;0.0124;0.00302;0.000094;0;217
154;436;0.0123;0.003;0.000094;0;210
156;435.6;0.0122;0.00297;0.000093;0;217
158;435;0.0121;0.00295;0.000092;0;210
160;434.3;0.012;0.00292;0.000091;0;210
162;433.8;0.0119;0.0029;0.000091;0;217
164;433.1;0.0118;0.00287;0.000090;0;210
166;432.6;0.0117;0.00284;0.000089;0;210
168;432.3;0.0116;0.00282;0.000088;0;217
170;432;0.0115;0.0028;0.000088;0;210
172;431.9;0.0114;0.00277;0.000087;0;217
174;431.6;0.0113;0.00274;0.000086;0;210
176;431.3;0.0112;0.00272;0.000085;0;217
178;430.8;0.0111;0.00269;0.000084;0;217
180;430.3;0.011;0.00267;0.000083;0;210
182;429.6;0.0109;0.00264;0.000083;0;217
184;429;0.0108;0.00261;0.000082;0;231
186;428.3;0.0106;0.00259;0.000081;0;210
188;427.5;0.0106;0.00256;0.000080;0;231
190;426.6;0.0104;0.00254;0.000079;0;217
192;425.8;0.0103;0.00251;0.000078;0;224
194;425.2;0.0102;0.00248;0.000078;0;224
196;424.7;0.0101;0.00246;0.000077;0;210
198;424.4;0.01;0.00243;0.000076;0;231
200;424.1;0.0099;0.00241;0.000075;0;231
202;423.7;0.00979;0.00238;0.000074;0;238
204;423.2;0.00968;0.00235;0.000073;0;273
206;422.7;0.00957;0.00233;0.000073;0;308
208;422.1;0.00946;0.0023;0.000072;0;308
210;421.5;0.00935;0.00227;0.000071;0;350
212;420.8;0.00924;0.00225;0.000070;0;350
214;419.9;0.00913;0.00222;0.000069;0;350
216;419;0.00902;0.00219;0.000068;0;350
218;418.1;0.00891;0.00217;0.000068;0;350
220;417.5;0.00879;0.00214;0.000067;0;350
222;417.3;0.00868;0.00211;0.000066;0;350
224;417.1;0.00857;0.00208;0.000065;0;315
226;416.6;0.00846;0.00206;0.000064;0;280
228;416.2;0.00835;0.00203;0.000063;0;273
230;416.1;0.00823;0.002;0.000063;0;238
232;416.1;0.00812;0.00198;0.000062;0;210
234;416.1;0.00801;0.00195;0.000061;0;231
236;416.2;0.0079;0.00192;0.000060;0;224
238;416.2;0.00778;0.00189;0.000059;0;217
240;416.1;0.00767;0.00187;0.000058;0;217
242;415.9;0.00756;0.00184;0.000058;0;210
244;415.7;0.00744;0.00181;0.000057;0;217
246;415.3;0.00733;0.00178;0.000056;0;210
248;415;0.00722;0.00176;0.000055;0;210
250;414.5;0.0071;0.00173;0.000054;0;217
252;414;0.00701;0.00171;0.000053;0.1245636;210
254;413.4;0.00701;0.00171;0.000053;0.117;210
256;412.8;0.00701;0.00171;0.000053;0.1108545;203
258;412.2;0.00701;0.00171;0.000053;0.1028182;210
260;411.6;0.00701;0.00171;0.000053;0.0962;196
262;410.9;0.00701;0.00171;0.000053;0.0898182;210
264;410.2;0.00701;0.00171;0.000053;0.0801273;196
266;409.5;0.00701;0.00171;0.000053;0.0872182;196
268;408.9;0.00701;0.00171;0.000053;0.0893455;203
270;408.6;0.00701;0.00171;0.000053;0.0919455;189
272;408.4;0.00701;0.00171;0.000053;0.0931273;210
274;408.3;0.00701;0.00171;0.000053;0.0926545;189
276;408.3;0.00701;0.00171;0.000053;0.0914727;210
278;408.2;0.00701;0.00171;0.000053;0.0881636;189
280;408;0.00701;0.00171;0.000053;0.0858;196
282;407.7;0.00701;0.00171;0.000053;0.0798909;210
284;407.4;0.00701;0.00171;0.000053;0.0754;196
286;407.1;0.00701;0.00171;0.000053;0.0683091;210
288;406.6;0.00701;0.00171;0.000053;0.0624;203
290;406.2;0.00701;0.00171;0.000053;0.0560182;210
292;405.8;0.00701;0.00171;0.000053;0.0491636;203
294;405.2;0.00701;0.00171;0.000053;0.0437273;203
296;404.8;0.00701;0.00171;0.000053;0.0354545;210
298;404.3;0.00701;0.00171;0.000053;0.0307273;203
300;403.8;0.00704;0.00171;0.000053;0.0439636;210
302;403.2;0.00711;0.00173;0.000054;0.0302545;203
304;402.8;0.00718;0.00175;0.000055;0.0286;203
306;402.6;0.00724;0.00176;0.000055;0.0420727;210
308;402.6;0.00732;0.00178;0.000056;0.0557818;203
310;402.7;0.00738;0.0018;0.000056;0.0614545;210
312;402.8;0.00746;0.00181;0.000057;0.0666545;203
314;402.9;0.00752;0.00183;0.000057;0.0640545;210
316;403;0.00759;0.00185;0.000058;0.0645273;210
318;403;0.00766;0.00186;0.000058;0.0576727;210
320;402.9;0.00773;0.00188;0.000059;0.052;210
322;402.8;0.0078;0.0019;0.000059;0.0425455;217
324;402.7;0.00786;0.00191;0.000060;0.0326182;217
326;402.5;0.00793;0.00193;0.000060;0.0223364;210
328;402.3;0.008;0.00195;0.000061;0.0102345;224
330;402.1;0.00806;0.00196;0.000061;0.0022336;217
332;401.9;0.00813;0.00198;0.000062;0;217
334;401.7;0.00821;0.002;0.000063;0;224
336;401.5;0.00827;0.00201;0.000063;0;210
338;401.3;0.00833;0.00203;0.000063;0;224
340;401.1;0.0084;0.00204;0.000064;0;224
342;401;0.00847;0.00206;0.000064;0.0052236;210
344;401;0.00854;0.00208;0.000065;0.01404;224
346;401.2;0.00861;0.00209;0.000065;0.0154818;224
348;401.5;0.00868;0.00211;0.000066;0.0180109;210
350;401.8;0.00874;0.00213;0.000067;0.0147964;231
352;402;0.0088;0.00214;0.000067;0.0139691;217
354;402.2;0.00887;0.00216;0.000068;0.0080127;238
356;402.5;0.00894;0.00217;0.000068;0.0044673;280
358;402.6;0.00901;0.00219;0.000068;0;294
360;402.8;0.00907;0.00221;0.000069;0;315
362;402.9;0.00914;0.00222;0.000069;0;350
364;403;0.00921;0.00224;0.000070;0;350
366;403.1;0.00927;0.00225;0.000070;0;350
368;403.2;0.00934;0.00227;0.000071;0;350
370;403.2;0.0094;0.00229;0.000072;0;315
372;403.2;0.00947;0.0023;0.000072;0.0051527;315
374;403.4;0.00953;0.00232;0.000073;0.0103055;280
376;403.7;0.00961;0.00233;0.000073;0.0151273;238
378;404;0.00967;0.00235;0.000073;0.0167345;238
380;404.2;0.00974;0.00237;0.000074;0.0182473;231
382;404.5;0.0098;0.00238;0.000074;0.0127873;210
384;404.7;0.00986;0.0024;0.000075;0.0097618;224
386;404.9;0.00992;0.00241;0.000075;0.0050818;217
388;405;0.01;0.00243;0.000076;0;210
390;405.1;0.0101;0.00245;0.000077;0;224
392;405.1;0.0101;0.00246;0.000077;0;210
394;405.1;0.0102;0.00248;0.000078;0;224
396;405.1;0.0103;0.00249;0.000078;0;217
398;405.1;0.0103;0.00251;0.000078;0;210
400;404.8;0.0104;0.00252;0.000079;0;217
402;404.7;0.0104;0.00254;0.000079;0.0086982;210
404;404.7;0.0105;0.00255;0.000080;0.0121018;210
406;404.7;0.0106;0.00257;0.000080;0.0126455;210
408;404.9;0.0106;0.00259;0.000081;0.0125036;210
410;405;0.0107;0.0026;0.000081;0.0068782;210
412;405.1;0.0108;0.00262;0.000082;0.0040418;210
414;405.2;0.0108;0.00263;0.000082;0;210
416;405.3;0.0109;0.00265;0.000083;0;217
418;405.4;0.011;0.00266;0.000083;0;210
420;405.4;0.011;0.00268;0.000084;0;217
422;405.4;0.0111;0.0027;0.000084;0;217
424;405.4;0.0112;0.00271;0.000085;0;210
426;405.4;0.0112;0.00273;0.000085;0;217
428;405.1;0.0113;0.00274;0.000086;0;210
430;404.9;0.0113;0.00276;0.000086;0;217
432;404.8;0.0114;0.00277;0.000087;0;224
434;404.8;0.0115;0.00279;0.000087;0.0020351;210
436;404.9;0.0115;0.0028;0.000088;0;224
438;405.1;0.0116;0.00282;0.000088;0;224
440;405.2;0.0117;0.00283;0.000088;0;210
442;405.3;0.0117;0.00285;0.000089;0;224
444;405.4;0.0118;0.00286;0.000089;0;210
446;405.4;0.0118;0.00288;0.000090;0;224
448;405.5;0.0119;0.00289;0.000090;0;231
450;405.6;0.012;0.00291;0.000091;0;210
452;405.4;0.012;0.00292;0.000091;0;231
454;405.1;0.0121;0.00294;0.000092;0;252
456;405;0.0122;0.00296;0.000093;0.0021296;259
458;405.1;0.0122;0.00297;0.000093;0.0033564;287
460;405.2;0.0123;0.00299;0.000093;0;329
462;405.4;0.0123;0.003;0.000094;0.0009691;329
464;405.6;0.0124;0.00301;0.000094;0;350
466;405.8;0.0125;0.00303;0.000095;0;350
468;405.9;0.0125;0.00305;0.000095;0;350
470;406;0.0126;0.00306;0.000096;0;350
472;406.1;0.0127;0.00308;0.000096;0;350
474;406.2;0.0127;0.00309;0.000097;0;350
476;406.3;0.0128;0.00311;0.000097;0;350
478;406.1;0.0128;0.00312;0.000098;0;350
480;406.2;0.0129;0.00314;0.000098;0.0069255;322
482;407;0.013;0.00315;0.000098;0.0138982;315
484;407.8;0.013;0.00317;0.000099;0.0188855;280
486;408.5;0.0131;0.00318;0.000099;0.0222655;252
488;409.1;0.0132;0.0032;0.000100;0.0200436;238
490;409.6;0.0132;0.00321;0.000100;0.0243455;224
492;410;0.0133;0.00322;0.000101;0.0183182;217
494;410.5;0.0133;0.00324;0.000101;0.0182;224
496;411;0.0134;0.00325;0.000102;0.0151036;210
498;411.4;0.0135;0.00327;0.000102;0.0143;217
500;411.9;0.0135;0.00328;0.000103;0.0269455;224
502;412.7;0.0136;0.0033;0.000103;0.0399455;210
504;413.4;0.0136;0.00331;0.000103;0.0477455;217
506;414;0.0137;0.00333;0.000104;0.0496364;217
508;414.7;0.0138;0.00334;0.000104;0.0536545;210
510;415.3;0.0138;0.00336;0.000105;0.0512909;217
512;415.7;0.0139;0.00337;0.000105;0.0529455;210
514;416.2;0.0139;0.00339;0.000106;0.0505818;217
516;416.6;0.014;0.0034;0.000106;0.0496364;217
518;417;0.0141;0.00342;0.000107;0.0501091;210
520;417.5;0.0141;0.00343;0.000107;0.0543636;217
522;418.1;0.0142;0.00345;0.000108;0.0711455;217
524;418.8;0.0143;0.00346;0.000108;0.0772909;217
526;419.4;0.0143;0.00347;0.000108;0.0843818;224
528;419.9;0.0144;0.00349;0.000109;0.0855636;210
530;420.4;0.0144;0.0035;0.000109;0.0843818;224
532;420.8;0.0145;0.00352;0.000110;0.0836727;224
534;421.2;0.0146;0.00353;0.000110;0.0808364;210
536;421.5;0.0146;0.00355;0.000111;0.0801273;231
538;421.8;0.0147;0.00356;0.000111;0.0749273;273
540;422.1;0.0147;0.00358;0.000112;0.0806;273
542;422.7;0.0148;0.00359;0.000112;0.0940727;315
544;423.3;0.0149;0.00361;0.000113;0.1044727;343
546;423.9;0.0149;0.00362;0.000113;0.1110909;350
548;424.6;0.015;0.00363;0.000113;0.1148727;350
550;425;0.015;0.00365;0.000114;0.1160545;350
552;425.4;0.0151;0.00366;0.000114;0.1127455;350
554;425.8;0.0151;0.00368;0.000115;0.1146364;350
556;426.1;0.0152;0.00369;0.000115;0.1092;350
558;426.5;0.0153;0.00371;0.000116;0.1089636;350
560;426.8;0.0153;0.00372;0.000116;0.1115636;350
562;427.4;0.0154;0.00373;0.000117;0.1257455;350
564;428;0.0154;0.00375;0.000117;0.1385091;350
566;428.6;0.0155;0.00376;0.000118;0.1418182;350
568;429.2;0.0156;0.00378;0.000118;0.1489091;350
570;429.7;0.0156;0.00379;0.000118;0.1463091;350
572;430.1;0.0157;0.00381;0.000119;0.1446545;350
574;430.5;0.0157;0.00382;0.000119;0.1448909;350
576;430.8;0.0158;0.00384;0.000120;0.1420545;322
578;431.2;0.0159;0.00385;0.000120;0.1422909;315
580;431.5;0.0159;0.00386;0.000121;0.1482;273
582;432.2;0.016;0.00388;0.000121;0.1633273;252
584;432.8;0.016;0.00389;0.000122;0.1699455;231
586;433.4;0.0161;0.00391;0.000122;0.1770364;217
588;433.9;0.0161;0.00392;0.000123;0.1784545;217
590;434.4;0.0162;0.00393;0.000123;0.1808182;224
592;435;0.0163;0.00395;0.000123;0.1827091;210
594;435.4;0.0163;0.00396;0.000124;0.1815273;224
596;435.8;0.0164;0.00398;0.000124;0.1836545;224
598;436.2;0.0164;0.00399;0.000125;0.1838909;210
600;436.7;0.0165;0.004;0.000125;0.1883818;224
602;437.2;0.0166;0.00402;0.000126;0.2011455;217
604;437.8;0.0166;0.00403;0.000126;0.2087091;217
606;438.4;0.0167;0.00404;0.000126;0.2172182;224
608;439;0.0167;0.00406;0.000127;0.2181636;217
610;439.5;0.0168;0.00407;0.000127;0.2231273;224
612;440.1;0.0168;0.00409;0.000128;0.2247818;231
614;440.5;0.0169;0.0041;0.000128;0.2306909;224
616;441;0.017;0.00411;0.000128;0.2311636;252
618;441.5;0.017;0.00413;0.000129;0.234;287
620;441.9;0.0171;0.00414;0.000129;0.2361273;294
622;442.4;0.0171;0.00416;0.000130;0.2387273;329
624;442.9;0.0172;0.00417;0.000130;0.2458182;350
626;443.4;0.0172;0.00418;0.000131;0.2505455;350
628;444;0.0173;0.0042;0.000131;0.2670909;350
630;444.6;0.0174;0.00421;0.000132;0.2718182;350
632;445.2;0.0174;0.00423;0.000132;0.2789091;350
634;445.8;0.0175;0.00424;0.000133;0.2812727;350
636;446.2;0.0175;0.00425;0.000133;0.2812727;350
638;446.7;0.0176;0.00427;0.000133;0.2836364;350
640;447.1;0.0176;0.00428;0.000134;0.2836364;350
642;447.5;0.0177;0.0043;0.000134;0.2907273;350
644;448;0.0178;0.00431;0.000135;0.3001818;350
646;448.6;0.0178;0.00432;0.000135;0.312;350
648;449.3;0.0179;0.00434;0.000136;0.3167273;350
650;449.7;0.0179;0.00435;0.000136;0.3190909;350
652;450.3;0.018;0.00436;0.000136;0.3238182;350
654;450.8;0.018;0.00438;0.000137;0.3238182;350
656;451.3;0.0181;0.00439;0.000137;0.3285455;350
658;451.7;0.0182;0.0044;0.000138;0.3285455;350
660;452.1;0.0182;0.00442;0.000138;0.3332727;350
662;452.6;0.0183;0.00443;0.000138;0.3450909;350
664;453.2;0.0183;0.00444;0.000139;0.3545455;350
666;453.7;0.0184;0.00446;0.000139;0.364;350
668;454.3;0.0184;0.00447;0.000140;0.3663636;350
670;454.9;0.0185;0.00448;0.000140;0.3758182;350
672;455.5;0.0185;0.0045;0.000141;0.3781818;350
674;455.9;0.0186;0.00451;0.000141;0.3852727;350
676;456.4;0.0187;0.00453;0.000142;0.3876364;350
678;457;0.0187;0.00454;0.000142;0.3923636;350
680;457.4;0.0188;0.00455;0.000142;0.3970909;315
682;457.9;0.0188;0.00456;0.000143;0.3994545;315
684;458.4;0.0189;0.00458;0.000143;0.4089091;273
686;458.8;0.0189;0.00459;0.000143;0.4089091;245
688;459.3;0.019;0.00461;0.000144;0.4183636;238
690;459.8;0.019;0.00462;0.000144;0.4207273;231
692;460.2;0.0191;0.00463;0.000145;0.4254545;210
694;460.8;0.0192;0.00465;0.000145;0.4372727;231
696;461.4;0.0192;0.00466;0.000146;0.4467273;224
